p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
2,0,1,2,2,2,16.0,,"(2, 0, 1)","(2, 2, 2, 12)"
1,0,2,2,2,2,16.0,,"(1, 0, 2)","(2, 2, 2, 12)"
1,2,2,2,2,2,16.0,,"(1, 2, 2)","(2, 2, 2, 12)"
2,2,1,2,2,2,16.0,,"(2, 2, 1)","(2, 2, 2, 12)"
2,2,2,2,2,1,16.0,,"(2, 2, 2)","(2, 2, 1, 12)"
1,1,2,2,2,2,16.0,,"(1, 1, 2)","(2, 2, 2, 12)"
2,2,2,1,2,2,16.0,,"(2, 2, 2)","(1, 2, 2, 12)"
2,1,2,2,2,1,16.0,,"(2, 1, 2)","(2, 2, 1, 12)"
2,1,2,2,2,2,18.0,,"(2, 1, 2)","(2, 2, 2, 12)"
2,0,2,2,2,2,18.0,,"(2, 0, 2)","(2, 2, 2, 12)"
2,2,2,2,2,2,18.0,,"(2, 2, 2)","(2, 2, 2, 12)"
0,2,2,0,1,2,164.4524048211409,164.18195556641746,"(0, 2, 2)","(0, 1, 2, 12)"
1,2,2,0,1,2,165.10489870128953,164.7803595956214,"(1, 2, 2)","(0, 1, 2, 12)"
0,2,2,1,1,2,166.37132123165685,166.04678212598873,"(0, 2, 2)","(1, 1, 2, 12)"
2,2,2,0,1,2,166.80190997296904,166.42328101635624,"(2, 2, 2)","(0, 1, 2, 12)"
1,2,2,1,1,2,167.54970574670966,167.17107679009686,"(1, 2, 2)","(1, 1, 2, 12)"
0,2,2,2,1,2,168.02155829598294,167.64292933937014,"(0, 2, 2)","(2, 1, 2, 12)"
2,2,2,1,1,2,168.17994322153163,167.74722441397412,"(2, 2, 2)","(1, 1, 2, 12)"
1,2,2,2,1,2,168.98455984805625,168.55184104049874,"(1, 2, 2)","(2, 1, 2, 12)"
2,2,2,2,1,2,170.155467948692,169.66865929018982,"(2, 2, 2)","(2, 1, 2, 12)"
2,2,2,0,2,1,171.68056428103935,171.35602517537123,"(2, 2, 2)","(0, 2, 1, 12)"
0,2,2,0,2,1,171.97992510740823,171.7635657036295,"(0, 2, 2)","(0, 2, 1, 12)"
2,2,2,1,2,1,172.8182899915277,172.4396610349149,"(2, 2, 2)","(1, 2, 1, 12)"
1,2,2,0,2,1,173.3532363641821,173.08278710945865,"(1, 2, 2)","(0, 2, 1, 12)"
0,2,2,1,2,1,173.8743688466778,173.60391959195437,"(0, 2, 2)","(1, 2, 1, 12)"
1,2,2,1,2,1,175.26755464036845,174.94301553470032,"(1, 2, 2)","(1, 2, 1, 12)"
0,1,2,0,1,2,181.18328362701487,181.58049133541405,"(0, 1, 2)","(0, 1, 2, 12)"
0,1,2,1,1,2,182.84657075455704,183.32322000463606,"(0, 1, 2)","(1, 1, 2, 12)"
2,1,2,0,1,2,184.35366515050822,184.90975594226708,"(2, 1, 2)","(0, 1, 2, 12)"
0,1,2,2,1,2,184.82752968891916,185.38362048067802,"(0, 1, 2)","(2, 1, 2, 12)"
1,1,2,1,1,2,185.33839906962993,185.8944898613888,"(1, 1, 2)","(1, 1, 2, 12)"
1,1,2,0,1,2,186.34203435069523,186.81868360077425,"(1, 1, 2)","(0, 1, 2, 12)"
1,1,2,2,1,2,186.6281750296855,187.26370736312418,"(1, 1, 2)","(2, 1, 2, 12)"
2,1,2,1,1,2,187.0137289079507,187.64926124138938,"(2, 1, 2)","(1, 1, 2, 12)"
0,2,1,0,1,2,187.60466439763795,187.92243056435728,"(0, 2, 1)","(0, 1, 2, 12)"
2,1,2,2,1,2,188.22194614136617,188.9369200164847,"(2, 1, 2)","(2, 1, 2, 12)"
2,2,1,2,1,0,188.51392199935884,188.99057124943786,"(2, 2, 1)","(2, 1, 0, 12)"
2,2,1,0,1,2,188.56663853911587,189.0432877891949,"(2, 2, 1)","(0, 1, 2, 12)"
0,2,1,1,1,2,188.9350516337272,189.33225934212638,"(0, 2, 1)","(1, 1, 2, 12)"
1,2,1,0,1,2,189.37370090230968,189.77090861070886,"(1, 2, 1)","(0, 1, 2, 12)"
2,2,2,2,1,0,190.23184786909343,190.7879386608523,"(2, 2, 2)","(2, 1, 0, 12)"
2,2,0,2,1,0,190.26428656846073,190.6614942768599,"(2, 2, 0)","(2, 1, 0, 12)"
2,2,1,2,1,1,190.4823143708996,191.03840516265845,"(2, 2, 1)","(2, 1, 1, 12)"
2,2,1,1,1,2,190.5026448409481,191.05873563270697,"(2, 2, 1)","(1, 1, 2, 12)"
1,2,1,1,1,2,190.67914906136346,191.15579831144248,"(1, 2, 1)","(1, 1, 2, 12)"
0,2,1,2,1,2,190.79879427195397,191.275443522033,"(0, 2, 1)","(2, 1, 2, 12)"
2,1,2,0,2,1,191.52999030035903,192.00663955043805,"(2, 1, 2)","(0, 2, 1, 12)"
1,1,2,0,2,1,191.59646085316956,191.99366856156874,"(1, 1, 2)","(0, 2, 1, 12)"
0,1,2,0,2,1,191.80774837735257,192.1255145440719,"(0, 1, 2)","(0, 2, 1, 12)"
2,2,2,2,1,1,191.8321757769906,192.46770811042927,"(2, 2, 2)","(2, 1, 1, 12)"
1,2,1,2,1,2,192.19772333719092,192.75381412894978,"(1, 2, 1)","(2, 1, 2, 12)"
2,2,0,2,1,1,192.2639780961536,192.74062734623263,"(2, 2, 0)","(2, 1, 1, 12)"
0,1,2,1,2,1,192.34111461948396,192.73832232788314,"(0, 1, 2)","(1, 2, 1, 12)"
2,2,1,2,1,2,192.48105396539748,193.11658629883615,"(2, 2, 1)","(2, 1, 2, 12)"
2,1,2,1,2,1,192.6122887484136,193.16837954017245,"(2, 1, 2)","(1, 2, 1, 12)"
0,2,1,0,2,1,193.18975687376735,193.42808149880685,"(0, 2, 1)","(0, 2, 1, 12)"
1,1,2,1,2,1,193.4071729276271,193.88382217770612,"(1, 1, 2)","(1, 2, 1, 12)"
2,2,0,2,1,2,194.2639627171773,194.82005350893616,"(2, 2, 0)","(2, 1, 2, 12)"
2,2,1,0,2,1,195.0256054950067,195.42281320340587,"(2, 2, 1)","(0, 2, 1, 12)"
1,2,1,0,2,1,195.12188260601448,195.43964877273382,"(1, 2, 1)","(0, 2, 1, 12)"
0,2,1,1,2,1,195.1587064177457,195.47647258446503,"(0, 2, 1)","(1, 2, 1, 12)"
2,2,0,1,2,1,196.0355029694618,196.43271067786097,"(2, 2, 0)","(1, 2, 1, 12)"
2,2,1,1,2,1,196.9710540179849,197.44770326806392,"(2, 2, 1)","(1, 2, 1, 12)"
1,2,1,1,2,1,197.09253975672215,197.48974746512133,"(1, 2, 1)","(1, 2, 1, 12)"
2,2,1,1,2,0,198.0338897406002,198.43109744899937,"(2, 2, 1)","(1, 2, 0, 12)"
2,2,0,1,2,0,198.94611791356868,199.26388408028802,"(2, 2, 0)","(1, 2, 0, 12)"
2,2,2,1,2,0,199.02667249177486,199.50332174185388,"(2, 2, 2)","(1, 2, 0, 12)"
2,1,2,2,1,0,200.2871890656531,201.66776110700664,"(2, 1, 2)","(2, 1, 0, 12)"
2,1,0,2,1,0,206.08123902411396,207.06736191079506,"(2, 1, 0)","(2, 1, 0, 12)"
0,1,1,0,1,2,206.23263133794825,207.02152964729314,"(0, 1, 1)","(0, 1, 2, 12)"
2,1,1,2,1,0,206.70425397293135,207.88760143694867,"(2, 1, 1)","(2, 1, 0, 12)"
0,1,1,1,1,2,206.74630059401227,207.73242348069337,"(0, 1, 1)","(1, 1, 2, 12)"
2,1,1,0,1,2,206.76573518764914,207.94908265166646,"(2, 1, 1)","(0, 1, 2, 12)"
1,0,2,0,1,2,206.7708460016145,207.95419346563182,"(1, 0, 2)","(0, 1, 2, 12)"
2,1,2,2,1,1,207.5822556642624,209.16005228295214,"(2, 1, 2)","(2, 1, 1, 12)"
1,1,1,0,1,2,207.90989026670377,208.89601315338487,"(1, 1, 1)","(0, 1, 2, 12)"
1,0,2,1,1,2,207.9579404988213,209.33851254017483,"(1, 0, 2)","(1, 1, 2, 12)"
2,1,0,2,1,1,208.074648416044,209.25799588006132,"(2, 1, 0)","(2, 1, 1, 12)"
1,1,1,1,1,2,208.42940029613158,209.6127477601489,"(1, 1, 1)","(1, 1, 2, 12)"
2,0,2,0,1,2,208.64281064735468,210.0233826887082,"(2, 0, 2)","(0, 1, 2, 12)"
0,1,1,2,1,2,208.67550894202492,209.85885640604224,"(0, 1, 1)","(2, 1, 2, 12)"
2,1,1,2,1,1,208.69589486596746,210.076466907321,"(2, 1, 1)","(2, 1, 1, 12)"
2,1,1,1,1,2,208.71543180307575,210.09600384442928,"(2, 1, 1)","(1, 1, 2, 12)"
0,0,2,0,2,1,208.77002442194484,209.55892273128973,"(0, 0, 2)","(0, 2, 1, 12)"
2,0,2,1,1,2,209.7496272378445,211.32742385653424,"(2, 0, 2)","(1, 1, 2, 12)"
0,0,2,1,2,1,209.81466133774347,210.80078422442458,"(0, 0, 2)","(1, 2, 1, 12)"
2,1,0,2,1,2,210.0746117005132,211.45518374186673,"(2, 1, 0)","(2, 1, 2, 12)"
1,0,2,0,2,1,210.23924912026146,211.22537200694256,"(1, 0, 2)","(0, 2, 1, 12)"
1,1,1,2,1,2,210.3560126974672,211.73658473882074,"(1, 1, 1)","(2, 1, 2, 12)"
1,2,2,2,1,0,210.57368205616507,211.75702952018239,"(1, 2, 2)","(2, 1, 0, 12)"
2,1,1,2,1,2,210.69581197444566,212.2736085931354,"(2, 1, 1)","(2, 1, 2, 12)"
1,2,1,2,1,0,210.75484888854947,211.74097177523058,"(1, 2, 1)","(2, 1, 0, 12)"
0,0,2,0,1,2,211.01868783895395,212.00481072563505,"(0, 0, 2)","(0, 1, 2, 12)"
1,0,2,1,2,1,211.27952696129637,212.4628744253137,"(1, 0, 2)","(1, 2, 1, 12)"
1,0,2,2,1,2,211.48362051681443,213.06141713550417,"(1, 0, 2)","(2, 1, 2, 12)"
2,0,2,0,2,1,211.63978114257304,212.82312860659036,"(2, 0, 2)","(0, 2, 1, 12)"
2,0,2,2,1,2,211.65929572491112,213.43431692093708,"(2, 0, 2)","(2, 1, 2, 12)"
0,2,0,0,1,2,212.01314665549734,212.60482038750598,"(0, 2, 0)","(0, 1, 2, 12)"
0,1,1,0,2,1,212.28480363702576,212.87647736903443,"(0, 1, 1)","(0, 2, 1, 12)"
0,0,2,1,1,2,212.35262258394104,213.53597004795836,"(0, 0, 2)","(1, 1, 2, 12)"
1,2,2,2,1,1,212.4708777447781,213.85144978613164,"(1, 2, 2)","(2, 1, 1, 12)"
2,0,2,1,2,1,212.6587377039113,214.03930974526483,"(2, 0, 2)","(1, 2, 1, 12)"
1,2,0,2,1,0,212.66225089572592,213.4511492050708,"(1, 2, 0)","(2, 1, 0, 12)"
1,2,1,2,1,1,212.7178756735633,213.90122313758062,"(1, 2, 1)","(2, 1, 1, 12)"
2,2,0,0,1,2,212.75154581976412,213.73766870644522,"(2, 2, 0)","(0, 1, 2, 12)"
1,2,0,0,1,2,213.34657133787826,214.13546964722315,"(1, 2, 0)","(0, 1, 2, 12)"
0,2,0,1,1,2,213.43383614975605,214.22273445910093,"(0, 2, 0)","(1, 1, 2, 12)"
