p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
0,1,0,1,1,0,527.9996100394593,530.2705984713176,"(0, 1, 0)","(1, 1, 0, 12)"
1,0,0,1,1,0,528.0052850902498,531.4117677380373,"(1, 0, 0)","(1, 1, 0, 12)"
1,0,0,0,1,1,528.2802038865768,531.6866865343643,"(1, 0, 0)","(0, 1, 1, 12)"
0,0,0,1,0,2,529.5178170838208,534.0597939475374,"(0, 0, 0)","(1, 0, 2, 12)"
2,0,0,0,1,1,530.1443161496687,534.6862930133854,"(2, 0, 0)","(0, 1, 1, 12)"
0,0,0,2,0,2,530.9334371762883,536.6109082559341,"(0, 0, 0)","(2, 0, 2, 12)"
0,0,2,0,0,2,537.0183186772805,542.2409308658976,"(0, 0, 2)","(0, 0, 2, 12)"
0,0,2,1,0,2,537.7159442491585,543.983078875499,"(0, 0, 2)","(1, 0, 2, 12)"
1,0,0,0,2,0,538.961173888639,541.2321623204973,"(1, 0, 0)","(0, 2, 0, 12)"
0,0,0,0,2,0,539.396076844719,540.5315710606482,"(0, 0, 0)","(0, 2, 0, 12)"
0,0,2,2,0,2,539.6985810958903,547.0102381599543,"(0, 0, 2)","(2, 0, 2, 12)"
0,0,0,2,0,0,544.3952126148788,547.9293741059226,"(0, 0, 0)","(2, 0, 0, 12)"
0,0,0,2,0,1,551.4368187144869,556.1490340358787,"(0, 0, 0)","(2, 0, 1, 12)"
0,0,1,1,1,0,555.3510996688774,558.8852611599212,"(0, 0, 1)","(1, 1, 0, 12)"
0,0,2,1,1,0,557.1666517916956,561.8788671130874,"(0, 0, 2)","(1, 1, 0, 12)"
0,0,1,0,0,2,558.5653840536615,562.9295538670948,"(0, 0, 1)","(0, 0, 2, 12)"
0,0,0,1,1,0,559.7206778935904,562.0767855542863,"(0, 0, 0)","(1, 1, 0, 12)"
0,0,1,1,0,2,559.958362576436,565.4135748432276,"(0, 0, 1)","(1, 0, 2, 12)"
0,0,1,2,0,2,561.9277025776075,568.4739572977575,"(0, 0, 1)","(2, 0, 2, 12)"
0,0,0,0,1,1,562.1980087319478,564.4689971638061,"(0, 0, 0)","(0, 1, 1, 12)"
0,0,1,2,0,0,607.9503562846523,612.6625716060441,"(0, 0, 1)","(2, 0, 0, 12)"
0,0,1,2,0,1,609.9496861313909,615.8399552831306,"(0, 0, 1)","(2, 0, 1, 12)"
0,0,2,2,0,0,610.8406111526073,616.730880304347,"(0, 0, 2)","(2, 0, 0, 12)"
0,0,2,2,0,1,612.7771891696882,619.8455121517759,"(0, 0, 2)","(2, 0, 1, 12)"
0,0,0,0,0,2,653.6752593164285,657.081741964216,"(0, 0, 0)","(0, 0, 2, 12)"
2,2,2,0,1,0,707.4509076580972,714.620843680523,"(2, 2, 2)","(0, 1, 0, 12)"
0,2,2,0,1,0,709.3915653711789,713.6935269846343,"(0, 2, 2)","(0, 1, 0, 12)"
2,2,2,1,0,0,719.7574286008639,728.5518440176622,"(2, 2, 2)","(1, 0, 0, 12)"
2,2,1,1,0,0,721.6448085324568,728.9734880464554,"(2, 2, 1)","(1, 0, 0, 12)"
1,1,2,0,1,0,722.335952326142,728.1988959373409,"(1, 1, 2)","(0, 1, 0, 12)"
0,1,2,0,1,0,722.9584647868154,727.3556724952145,"(0, 1, 2)","(0, 1, 0, 12)"
2,1,2,0,1,0,725.383089265746,732.7117687797446,"(2, 1, 2)","(0, 1, 0, 12)"
1,2,2,0,1,0,726.4541248588655,732.190073676806,"(1, 2, 2)","(0, 1, 0, 12)"
2,2,0,1,0,0,732.4213020619478,738.2842456731468,"(2, 2, 0)","(1, 0, 0, 12)"
2,2,1,0,1,0,732.4434878373324,738.3064314485314,"(2, 2, 1)","(0, 1, 0, 12)"
2,1,0,1,0,0,735.8114633002433,741.7974935461092,"(2, 1, 0)","(1, 0, 0, 12)"
0,2,1,0,1,0,736.4698132424406,739.4012850480401,"(0, 2, 1)","(0, 1, 0, 12)"
2,1,1,1,0,0,737.0653328570537,744.5478706643861,"(2, 1, 1)","(1, 0, 0, 12)"
2,1,2,1,0,0,737.3634809282046,746.3425262970035,"(2, 1, 2)","(1, 0, 0, 12)"
1,2,1,0,1,0,737.3967455137791,741.7939532221783,"(1, 2, 1)","(0, 1, 0, 12)"
2,0,2,0,1,0,741.1061719074825,748.5887097148149,"(2, 0, 2)","(0, 1, 0, 12)"
1,0,2,0,1,0,741.4914517169337,747.4774819627996,"(1, 0, 2)","(0, 1, 0, 12)"
2,1,1,0,1,0,745.3392013628479,751.3252316087138,"(2, 1, 1)","(0, 1, 0, 12)"
2,2,0,0,1,0,745.4631972975932,749.8604050059923,"(2, 2, 0)","(0, 1, 0, 12)"
0,1,1,0,1,0,747.6348970467185,750.6279121696515,"(0, 1, 1)","(0, 1, 0, 12)"
1,1,1,0,1,0,747.8510202545716,752.340542938971,"(1, 1, 1)","(0, 1, 0, 12)"
2,1,0,0,1,0,747.9275118088203,752.4170344932197,"(2, 1, 0)","(0, 1, 0, 12)"
1,2,1,1,0,0,749.3739017621267,755.3599320079926,"(1, 2, 1)","(1, 0, 0, 12)"
1,1,2,1,0,0,757.0396693135573,764.6714719366381,"(1, 1, 2)","(1, 0, 0, 12)"
0,0,2,0,1,0,758.3535532797789,762.8430759641783,"(0, 0, 2)","(0, 1, 0, 12)"
1,1,1,1,0,0,760.2296184661607,766.3350605646253,"(1, 1, 1)","(1, 0, 0, 12)"
2,0,1,1,0,0,760.6477224977003,768.2795251207812,"(2, 0, 1)","(1, 0, 0, 12)"
2,2,2,2,0,1,762.6024214963105,770.5682796847425,"(2, 2, 2)","(2, 0, 1, 12)"
1,2,2,1,0,0,763.9678178681911,771.4503556755235,"(1, 2, 2)","(1, 0, 0, 12)"
1,1,0,1,0,0,764.544589310078,769.1236708839265,"(1, 1, 0)","(1, 0, 0, 12)"
0,2,2,1,0,0,765.363611350873,771.4690534493377,"(0, 2, 2)","(1, 0, 0, 12)"
1,2,0,1,0,0,766.6196694439016,771.109192128301,"(1, 2, 0)","(1, 0, 0, 12)"
2,0,1,0,1,0,767.7868624736442,773.8923045721089,"(2, 0, 1)","(0, 1, 0, 12)"
2,0,0,1,0,0,768.1389919373324,774.2444340357971,"(2, 0, 0)","(1, 0, 0, 12)"
0,2,1,1,0,0,770.5083359067194,775.0874174805679,"(0, 2, 1)","(1, 0, 0, 12)"
1,0,1,0,1,0,772.1282599218302,776.7073414956787,"(1, 0, 1)","(0, 1, 0, 12)"
2,0,2,1,0,0,772.5333572388703,781.6915203865673,"(2, 0, 2)","(1, 0, 0, 12)"
2,0,0,0,1,0,773.3449589652328,777.9240405390813,"(2, 0, 0)","(0, 1, 0, 12)"
0,1,0,0,1,0,774.9824334633295,776.5087939879456,"(0, 1, 0)","(0, 1, 0, 12)"
1,1,0,0,1,0,775.7534299306277,778.80615097986,"(1, 1, 0)","(0, 1, 0, 12)"
1,2,0,0,1,0,777.3449853730567,780.3380004959897,"(1, 2, 0)","(0, 1, 0, 12)"
0,0,1,0,1,0,778.6999275668587,781.752648616091,"(0, 0, 1)","(0, 1, 0, 12)"
0,1,2,1,0,0,778.7670887954945,784.9884810414521,"(0, 1, 2)","(1, 0, 0, 12)"
0,1,1,1,0,0,781.9171378217186,786.5831820061868,"(0, 1, 1)","(1, 0, 0, 12)"
0,2,0,0,1,0,782.1830957204186,783.6796032818851,"(0, 2, 0)","(0, 1, 0, 12)"
1,0,1,1,0,0,782.5271218139114,788.7485140598691,"(1, 0, 1)","(1, 0, 0, 12)"
0,1,0,1,0,0,785.5145168144237,788.6252129374026,"(0, 1, 0)","(1, 0, 0, 12)"
1,0,0,1,0,0,791.4978976447287,796.1639418291969,"(1, 0, 0)","(1, 0, 0, 12)"
0,2,0,1,0,0,791.7298129782695,794.7825340275018,"(0, 2, 0)","(1, 0, 0, 12)"
1,0,0,0,1,0,793.9626303410648,797.0733264640437,"(1, 0, 0)","(0, 1, 0, 12)"
1,0,2,1,0,0,795.5013912596345,803.2781315670816,"(1, 0, 2)","(1, 0, 0, 12)"
0,1,1,2,0,1,795.5407747100218,801.2182457896675,"(0, 1, 1)","(2, 0, 1, 12)"
0,0,0,1,0,0,813.8244875663992,816.9915254433114,"(0, 0, 0)","(1, 0, 0, 12)"
0,0,0,0,1,0,816.1298925456406,817.68524060713,"(0, 0, 0)","(0, 1, 0, 12)"
2,1,2,2,0,1,837.3931272088317,845.7493067106192,"(2, 1, 2)","(2, 0, 1, 12)"
2,2,0,2,0,1,841.3188689110002,847.2932625523241,"(2, 2, 0)","(2, 0, 1, 12)"
2,1,0,2,0,1,870.6106247462784,876.8777593726189,"(2, 1, 0)","(2, 0, 1, 12)"
0,1,0,2,0,1,886.6455514777742,891.1875283414909,"(0, 1, 0)","(2, 0, 1, 12)"
1,1,0,2,0,1,898.1061973893675,903.5614096561591,"(1, 1, 0)","(2, 0, 1, 12)"
2,2,1,2,0,1,899.5055571338319,906.4756830487098,"(2, 2, 1)","(2, 0, 1, 12)"
2,1,1,2,0,1,901.6790740007436,908.9907310648076,"(2, 1, 1)","(2, 0, 1, 12)"
1,2,0,2,0,1,903.4064435289927,908.6290557176097,"(1, 2, 0)","(2, 0, 1, 12)"
0,0,1,1,0,0,906.0552527820558,910.8058095974242,"(0, 0, 1)","(1, 0, 0, 12)"
0,0,2,1,0,0,909.5044699692603,915.8385457230847,"(0, 0, 2)","(1, 0, 0, 12)"
1,1,2,2,0,1,947.0478566152797,954.6851537887878,"(1, 1, 2)","(2, 0, 1, 12)"
0,2,1,2,0,1,957.7019182628447,963.1571305296363,"(0, 2, 1)","(2, 0, 1, 12)"
0,2,2,0,0,0,973.3395218907168,978.6231222377975,"(0, 2, 2)","(0, 0, 0, 12)"
2,2,2,0,0,0,974.4185698273596,983.2245704058274,"(2, 2, 2)","(0, 0, 0, 12)"
1,2,2,0,0,0,976.4457671024685,983.4905675652427,"(1, 2, 2)","(0, 0, 0, 12)"
0,1,2,0,0,0,977.9410748887356,983.2936437904904,"(0, 1, 2)","(0, 0, 0, 12)"
1,1,2,0,0,0,979.8070597339374,986.9438182696105,"(1, 1, 2)","(0, 0, 0, 12)"
2,1,2,0,0,0,981.5941376956381,990.5150858652294,"(2, 1, 2)","(0, 0, 0, 12)"
2,0,2,0,0,0,992.7207595325044,1001.754071981356,"(2, 0, 2)","(0, 0, 0, 12)"
2,2,1,0,0,0,996.4429506788983,1003.5797092145714,"(2, 2, 1)","(0, 0, 0, 12)"
1,0,2,0,0,0,997.3314158421797,1004.558065801261,"(1, 0, 2)","(0, 0, 0, 12)"
0,2,1,0,0,0,998.1623991286526,1001.7307783964892,"(0, 2, 1)","(0, 0, 0, 12)"
1,2,1,0,0,0,999.7172123025705,1005.0697812043253,"(1, 2, 1)","(0, 0, 0, 12)"
2,1,1,0,0,0,1001.7813436223884,1009.0079935814697,"(2, 1, 1)","(0, 0, 0, 12)"
2,1,0,0,0,0,1003.1198692568767,1008.5398567261876,"(2, 1, 0)","(0, 0, 0, 12)"
1,1,1,0,0,0,1005.0217794269066,1010.4417668962176,"(1, 1, 1)","(0, 0, 0, 12)"
2,2,0,0,0,0,1005.0648051737187,1010.4173740754735,"(2, 2, 0)","(0, 0, 0, 12)"
0,1,1,0,0,0,1005.573665929474,1009.1869909090146,"(0, 1, 1)","(0, 0, 0, 12)"
0,1,2,2,0,1,1021.3154802705435,1028.1284455661184,"(0, 1, 2)","(2, 0, 1, 12)"
1,0,1,0,0,0,1026.1542237677818,1031.640147957249,"(1, 0, 1)","(0, 0, 0, 12)"
2,0,1,0,0,0,1027.0599096328085,1034.374475218765,"(2, 0, 1)","(0, 0, 0, 12)"
0,1,0,0,0,0,1028.1427195172494,1029.9713609137384,"(0, 1, 0)","(0, 0, 0, 12)"
1,1,0,0,0,0,1029.398214670701,1033.055497463679,"(1, 1, 0)","(0, 0, 0, 12)"
2,0,0,0,0,0,1031.3893160454145,1036.8752402348819,"(2, 0, 0)","(0, 0, 0, 12)"
1,2,0,0,0,0,1037.0834997107931,1040.6968246903339,"(1, 2, 0)","(0, 0, 0, 12)"
0,2,0,0,0,0,1042.3035182418923,1044.1101807316627,"(0, 2, 0)","(0, 0, 0, 12)"
1,0,0,0,0,0,1051.5105507992846,1055.2108460027048,"(1, 0, 0)","(0, 0, 0, 12)"
0,2,0,2,0,1,1067.0482838353507,1071.412453648784,"(0, 2, 0)","(2, 0, 1, 12)"
1,1,1,2,0,1,1125.707599151759,1132.2538538719089,"(1, 1, 1)","(2, 0, 1, 12)"
0,0,2,0,0,0,1137.7997780032495,1143.2197654725603,"(0, 0, 2)","(0, 0, 0, 12)"
0,0,1,0,0,0,1167.0333155255155,1170.6905983184936,"(0, 0, 1)","(0, 0, 0, 12)"
0,0,0,0,0,0,1222.4021433510545,1224.2522909527645,"(0, 0, 0)","(0, 0, 0, 12)"
2,0,0,0,0,1,1322.1133065212339,1328.3346987671916,"(2, 0, 0)","(0, 0, 1, 12)"
2,0,0,1,0,1,1324.485819346011,1332.117621969092,"(2, 0, 0)","(1, 0, 1, 12)"
1,0,0,1,0,1,1374.0937072981044,1380.3150995440622,"(1, 0, 0)","(1, 0, 1, 12)"
0,2,0,0,0,1,1417.6345284815875,1420.6275436045205,"(0, 2, 0)","(0, 0, 1, 12)"
0,0,0,0,0,1,1433.2094113464213,1436.3201074694002,"(0, 0, 0)","(0, 0, 1, 12)"
0,1,0,0,0,1,1487.3797119868157,1490.432433036048,"(0, 1, 0)","(0, 0, 1, 12)"
0,2,2,2,0,1,1929.4608580126107,1936.0071127327606,"(0, 2, 2)","(2, 0, 1, 12)"
1,1,2,0,0,1,3157.5495496558333,3164.878229169832,"(1, 1, 2)","(0, 0, 1, 12)"
2,0,2,1,0,1,3580.0768140700243,3590.5523670002895,"(2, 0, 2)","(1, 0, 1, 12)"
0,1,2,1,0,1,4286.5072058222995,4293.835885336298,"(0, 1, 2)","(1, 0, 1, 12)"
1,0,2,1,0,1,4300.958608094575,4309.937653463374,"(1, 0, 2)","(1, 0, 1, 12)"
2,1,2,0,0,1,4401.901691712353,4410.696107129151,"(2, 1, 2)","(0, 0, 1, 12)"
2,1,2,1,0,1,4468.689468331615,4478.949619651213,"(2, 1, 2)","(1, 0, 1, 12)"
1,1,2,1,0,1,4478.155463314535,4486.949878731333,"(1, 1, 2)","(1, 0, 1, 12)"
0,1,2,0,0,1,4569.534486267839,4575.397429879038,"(0, 1, 2)","(0, 0, 1, 12)"
1,2,2,0,0,1,4711.2300607061825,4718.399996728608,"(1, 2, 2)","(0, 0, 1, 12)"
1,0,1,1,0,1,4731.010909509001,4738.642712132082,"(1, 0, 1)","(1, 0, 1, 12)"
2,0,2,0,0,1,4788.644167544654,4797.623212913453,"(2, 0, 2)","(0, 0, 1, 12)"
1,0,2,0,0,1,4920.343888291794,4927.826426099127,"(1, 0, 2)","(0, 0, 1, 12)"
0,1,1,0,0,1,5083.404864991925,5087.894387676324,"(0, 1, 1)","(0, 0, 1, 12)"
2,1,0,1,0,1,5136.137267897797,5143.61980570513,"(2, 1, 0)","(1, 0, 1, 12)"
2,1,1,1,0,1,5136.388479469578,5145.367524838377,"(2, 1, 1)","(1, 0, 1, 12)"
1,1,1,1,0,1,5138.759633405186,5146.242171212519,"(1, 1, 1)","(1, 0, 1, 12)"
0,1,1,1,0,1,5184.419023710408,5190.405053956273,"(0, 1, 1)","(1, 0, 1, 12)"
1,1,0,1,0,1,5229.898773490831,5236.004215589296,"(1, 1, 0)","(1, 0, 1, 12)"
0,1,0,1,0,1,5261.4505929412135,5266.029674515062,"(0, 1, 0)","(1, 0, 1, 12)"
1,2,2,1,0,1,5282.439530823132,5291.043454050044,"(1, 2, 2)","(1, 0, 1, 12)"
1,2,1,0,0,1,5317.762444175988,5323.625387787187,"(1, 2, 1)","(0, 0, 1, 12)"
2,2,2,0,0,1,5339.694588860415,5348.298512087326,"(2, 2, 2)","(0, 0, 1, 12)"
2,1,1,0,0,1,5349.770162362921,5357.252700170254,"(2, 1, 1)","(0, 0, 1, 12)"
1,1,1,0,0,1,5369.872341770513,5375.858372016379,"(1, 1, 1)","(0, 0, 1, 12)"
1,0,1,0,0,1,5444.4014653718095,5450.506907470274,"(1, 0, 1)","(0, 0, 1, 12)"
2,1,0,0,0,1,5457.856490327851,5463.961932426316,"(2, 1, 0)","(0, 0, 1, 12)"
1,1,0,0,0,1,5461.712521073425,5466.291602647273,"(1, 1, 0)","(0, 0, 1, 12)"
2,2,2,1,0,1,5482.450829253516,5492.488739684912,"(2, 2, 2)","(1, 0, 1, 12)"
1,0,0,0,0,1,5541.874481526912,5546.54052571138,"(1, 0, 0)","(0, 0, 1, 12)"
0,2,2,0,0,1,5566.688215355292,5572.424164173233,"(0, 2, 2)","(0, 0, 1, 12)"
1,2,1,1,0,1,5698.879544640387,5706.208224154386,"(1, 2, 1)","(1, 0, 1, 12)"
2,2,1,1,0,1,6159.720813427105,6168.515228843903,"(2, 2, 1)","(1, 0, 1, 12)"
2,2,0,1,0,1,6161.448894342195,6168.777573856193,"(2, 2, 0)","(1, 0, 1, 12)"
2,2,1,0,0,1,6400.535377375423,6407.864056889422,"(2, 2, 1)","(0, 0, 1, 12)"
1,2,0,1,0,1,6468.988157385529,6474.974187631395,"(1, 2, 0)","(1, 0, 1, 12)"
0,2,2,1,0,1,6596.6255207423565,6603.795456764782,"(0, 2, 2)","(1, 0, 1, 12)"
2,2,0,0,0,1,6699.685929323871,6705.671959569737,"(2, 2, 0)","(0, 0, 1, 12)"
1,2,0,0,0,1,6728.27711887473,6732.766641559129,"(1, 2, 0)","(0, 0, 1, 12)"
0,2,1,0,0,1,7136.762175249385,7141.159382957784,"(0, 2, 1)","(0, 0, 1, 12)"
0,2,1,1,0,1,7335.417364352603,7341.2803079638015,"(0, 2, 1)","(1, 0, 1, 12)"
0,2,0,1,0,1,8169.961063392107,8174.450586076506,"(0, 2, 0)","(1, 0, 1, 12)"
2,0,1,0,0,1,26407.592269233843,26415.224071856923,"(2, 0, 1)","(0, 0, 1, 12)"
2,0,1,1,0,1,30200.348870116817,30209.507033264515,"(2, 0, 1)","(1, 0, 1, 12)"
0,0,1,1,0,1,45687.010869851816,45693.11631195028,"(0, 0, 1)","(1, 0, 1, 12)"
0,0,2,1,0,1,51048.018468778246,51055.501006585575,"(0, 0, 2)","(1, 0, 1, 12)"
0,0,2,0,0,1,55688.170774051534,55694.1568042974,"(0, 0, 2)","(0, 0, 1, 12)"
0,0,1,0,0,1,57756.52896652481,57761.108048098664,"(0, 0, 1)","(0, 0, 1, 12)"
0,0,0,1,0,1,64045.27011492336,64049.93615910783,"(0, 0, 0)","(1, 0, 1, 12)"
